Borehole,Longitude,Latitude,link,Data Contact,Country,Geothermal Gradient,Intercept
CA-0301,-91.37,49.06,http://geothermal.earth.lsa.umich.edu/DATA/CA-0301.html,J-C Mareschal,CA,10.290711060900296,3.790037659467554
CA-0302,-91.36,49.14,http://geothermal.earth.lsa.umich.edu/DATA/CA-0302.html,J-C Mareschal,CA,9.34571876036924,3.4602254213707115
CA-0303,-90.79,48.6,http://geothermal.earth.lsa.umich.edu/DATA/CA-0303.html,J-C Mareschal,CA,9.953030251799028,3.766108740240968
CA-0304,-90.78,48.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-0304.html,J-C Mareschal,CA,10.203747745905053,3.8197745000166416
CA-0306,-88.09,50.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-0306.html,J-C Mareschal,CA,10.35241962405082,2.4158045718301677
CA-0307,-88.1,50.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-0307.html,J-C Mareschal,CA,11.271847191169478,2.1168167281535726
CA-0308,-87.97,50.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-0308.html,J-C Mareschal,CA,11.404498150139231,2.1854763867309366
CA-0309,-89.23,49.77,http://geothermal.earth.lsa.umich.edu/DATA/CA-0309.html,J-C Mareschal,CA,11.878507554733272,3.235494912118409
CA-0310,-89.14,50.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-0310.html,J-C Mareschal,CA,20.591625615763554,2.795467980295566
CA-0311,-88.93,49.2,http://geothermal.earth.lsa.umich.edu/DATA/CA-0311.html,J-C Mareschal,CA,19.11256683355279,3.424175717761388
CA-0312,-87.95,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-0312.html,J-C Mareschal,CA,14.957206918203962,4.437740465960635
CA-0314,-81.44,48.74,http://geothermal.earth.lsa.umich.edu/DATA/CA-0314.html,J-C Mareschal,CA,8.167116454038247,3.696007784206294
CA-0315,-81.44,48.74,http://geothermal.earth.lsa.umich.edu/DATA/CA-0315.html,J-C Mareschal,CA,8.351010999462238,3.4655836541396248
CA-0316,-80.87,46.66,http://geothermal.earth.lsa.umich.edu/DATA/CA-0316.html,J-C Mareschal,CA,13.20942963576531,4.915321422323575
CA-051-0,-76.06,45.01,http://geothermal.earth.lsa.umich.edu/DATA/CA-051-0.html,A.M. Jessop,CA,10.463495971082997,6.89027849005348
CA-054-0,-63.48,44.92,http://geothermal.earth.lsa.umich.edu/DATA/CA-054-0.html,K. Wang,CA,12.937202819169288,6.465085875956634
CA-056-0,-63.45,46.27,http://geothermal.earth.lsa.umich.edu/DATA/CA-056-0.html,A.M. Jessop,CA,13.677930011205337,5.65120466659735
CA-057-0,-77.24,43.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-057-0.html,A.M. Jessop,CA,20.82356431318784,8.477527698388622
CA-065-0,-63.45,45.78,http://geothermal.earth.lsa.umich.edu/DATA/CA-065-0.html,A.M. Jessop,CA,15.559933126355917,6.849561930567123
CA-066-0,-114.42,62.51,http://geothermal.earth.lsa.umich.edu/DATA/CA-066-0.html,A.M. Jessop,CA,14.058372602483903,3.19641284741901
CA-067-1,-81.3,46.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-1.html,A.M. Jessop,CA,11.737803463884756,5.416393984309622
CA-067-2,-81.39,46.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-2.html,A.M. Jessop,CA,13.76534570916878,4.962362571124231
CA-067-3,-81.43,46.61,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-3.html,A.M. Jessop,CA,11.683193574025266,6.645627675298639
CA-067-4,-81.44,46.38,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-4.html,A.M. Jessop,CA,12.878828789184247,5.726100798105046
CA-067-5,-81.39,46.41,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-5.html,A.M. Jessop,CA,13.397002747211868,5.2398322476092085
CA-067-6,-81.08,46.52,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-6.html,K. Wang,CA,15.399814164035623,5.670806466582965
CA-067-7,-81.32,46.43,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-7.html,A.M. Jessop,CA,15.413471709603353,5.416589199590246
CA-067-8,-81.16,46.55,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-8.html,A.M. Jessop,CA,10.635225457877034,5.747430726820588
CA-067-9,-81.34,46.65,http://geothermal.earth.lsa.umich.edu/DATA/CA-067-9.html,A.M. Jessop,CA,11.945303156112834,5.765268349863477
CA-069-0,-74.35,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-069-0.html,A.M. Jessop,CA,6.981415765907482,3.0696051735094088
CA-072-2,-117.19,49.15,http://geothermal.earth.lsa.umich.edu/DATA/CA-072-2.html,A.M. Jessop,CA,30.789296886492373,5.633393418395324
CA-074-0,-116.86,49.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-074-0.html,A.M. Jessop,CA,56.64386479161169,7.700498701408066
CA-081-1,-121.56,52.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-081-1.html,A.M. Jessop,CA,27.148255528513353,3.346192494628829
