,Borehole,Longitude,Latitudes,Data,Data Contact,Country
87,CA-074-0,-116.86,49.76,http://geothermal.earth.lsa.umich.edu/DATA/CA-074-0.html,A.M. Jessop,CA
88,CA-081-1,-121.56,52.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-081-1.html,A.M. Jessop,CA
89,CA-081-2,-121.56,52.63,http://geothermal.earth.lsa.umich.edu/DATA/CA-081-2.html,A.M. Jessop,CA
90,CA-083-0,-94.20,51.00,http://geothermal.earth.lsa.umich.edu/DATA/CA-083-0.html,A.M. Jessop,CA
91,CA-084-1,-85.85,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-1.html,K. Wang,CA
92,CA-084-2,-85.81,49.19,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-2.html,A.M. Jessop,CA
93,CA-084-3,-85.85,49.19,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-3.html,K. Wang,CA
94,CA-084-4,-85.81,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-4.html,K. Wang,CA
95,CA-084-6,-85.85,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-6.html,K. Wang,CA
96,CA-084-7,-85.85,49.18,http://geothermal.earth.lsa.umich.edu/DATA/CA-084-7.html,K. Wang,CA
97,CA-096-0,-64.68,48.86,http://geothermal.earth.lsa.umich.edu/DATA/CA-096-0.html,K. Wang,CA
98,CA-103-3,-65.53,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-103-3.html,A.M. Jessop,CA
99,CA-103-5,-65.53,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-103-5.html,A.M. Jessop,CA
100,CA-103-6,-65.53,48.95,http://geothermal.earth.lsa.umich.edu/DATA/CA-103-6.html,A.M. Jessop,CA
101,CA-104-2,-115.89,49.69,http://geothermal.earth.lsa.umich.edu/DATA/CA-104-2.html,A.M. Jessop,CA
102,CA-104-3,-115.94,49.68,http://geothermal.earth.lsa.umich.edu/DATA/CA-104-3.html,A.M. Jessop,CA
103,CA-104-9,-116.00,49.72,http://geothermal.earth.lsa.umich.edu/DATA/CA-104-9.html,A.M. Jessop,CA
104,CA-113-2,-56.00,48.00,http://geothermal.earth.lsa.umich.edu/DATA/CA-113-2.html,A.M. Jessop,CA
105,CA-115-3,-126.69,56.60,http://geothermal.earth.lsa.umich.edu/DATA/CA-115-3.html,A.M. Jessop,CA
106,CA-115-8,-126.69,56.60,http://geothermal.earth.lsa.umich.edu/DATA/CA-115-8.html,A.M. Jessop,CA
107,CA-117-1,-91.00,49.88,http://geothermal.earth.lsa.umich.edu/DATA/CA-117-1.html,A.M. Jessop,CA
